2022-08-07 00:06:51,471 - INFO - Loading Data...
2022-08-07 00:06:55,120 - INFO - Init nn...
2022-08-07 00:06:58,859 - INFO - Training...
2022-08-07 00:06:59,310 - INFO - [1,     5] loss: 1.577
2022-08-07 00:06:59,364 - INFO - [1,     9] loss: 1.516
2022-08-07 00:06:59,418 - INFO - [1,    13] loss: 1.416
2022-08-07 00:06:59,471 - INFO - [1,    17] loss: 1.327
2022-08-07 00:06:59,521 - INFO - [1,    21] loss: 1.243
2022-08-07 00:06:59,566 - INFO - [1,    25] loss: 1.182
2022-08-07 00:06:59,612 - INFO - [1,    29] loss: 1.125
2022-08-07 00:06:59,658 - INFO - [1,    33] loss: 1.086
2022-08-07 00:06:59,706 - INFO - [1,    37] loss: 1.044
2022-08-07 00:06:59,752 - INFO - [1,    41] loss: 1.002
2022-08-07 00:06:59,797 - INFO - [1,    45] loss: 0.968
2022-08-07 00:06:59,844 - INFO - [1,    49] loss: 0.932
2022-08-07 00:06:59,889 - INFO - [1,    53] loss: 0.894
2022-08-07 00:06:59,937 - INFO - [1,    57] loss: 0.864
2022-08-07 00:06:59,985 - INFO - [1,    61] loss: 0.833
2022-08-07 00:07:00,034 - INFO - [1,    65] loss: 0.805
2022-08-07 00:07:00,081 - INFO - [1,    69] loss: 0.780
2022-08-07 00:07:00,126 - INFO - [1,    73] loss: 0.755
2022-08-07 00:07:00,172 - INFO - [1,    77] loss: 0.728
2022-08-07 00:07:00,220 - INFO - [1,    81] loss: 0.704
2022-08-07 00:07:00,268 - INFO - [1,    85] loss: 0.680
2022-08-07 00:07:00,334 - INFO - [1,    89] loss: 0.660
2022-08-07 00:07:00,384 - INFO - [1,    93] loss: 0.646
2022-08-07 00:07:00,434 - INFO - [1,    97] loss: 0.628
2022-08-07 00:07:00,483 - INFO - [1,   101] loss: 0.610
2022-08-07 00:07:00,531 - INFO - [1,   105] loss: 0.592
2022-08-07 00:07:00,578 - INFO - [1,   109] loss: 0.576
2022-08-07 00:07:00,629 - INFO - [1,   113] loss: 0.562
2022-08-07 00:07:00,677 - INFO - [1,   117] loss: 0.546
2022-08-07 00:07:00,725 - INFO - [1,   121] loss: 0.534
2022-08-07 00:07:00,773 - INFO - [1,   125] loss: 0.523
2022-08-07 00:07:00,821 - INFO - [1,   129] loss: 0.511
2022-08-07 00:07:00,869 - INFO - [1,   133] loss: 0.501
2022-08-07 00:07:00,940 - INFO - [1,   137] loss: 0.491
2022-08-07 00:07:00,990 - INFO - [1,   141] loss: 0.482
2022-08-07 00:07:01,043 - INFO - [1,   145] loss: 0.472
2022-08-07 00:07:01,092 - INFO - [1,   149] loss: 0.463
2022-08-07 00:07:01,140 - INFO - [1,   153] loss: 0.454
2022-08-07 00:07:01,192 - INFO - [1,   157] loss: 0.446
2022-08-07 00:07:01,247 - INFO - [1,   161] loss: 0.439
2022-08-07 00:07:01,302 - INFO - [1,   165] loss: 0.432
2022-08-07 00:07:01,357 - INFO - [1,   169] loss: 0.424
2022-08-07 00:07:01,411 - INFO - [1,   173] loss: 0.419
2022-08-07 00:07:01,466 - INFO - [1,   177] loss: 0.412
2022-08-07 00:07:01,518 - INFO - [1,   181] loss: 0.406
2022-08-07 00:07:01,568 - INFO - [1,   185] loss: 0.401
2022-08-07 00:07:01,632 - INFO - [1,   189] loss: 0.395
2022-08-07 00:07:01,701 - INFO - [1,   193] loss: 0.390
2022-08-07 00:07:01,762 - INFO - [1,   197] loss: 0.384
2022-08-07 00:07:01,847 - INFO - [1,   201] loss: 0.379
2022-08-07 00:07:02,035 - INFO - [1,   205] loss: 0.375
2022-08-07 00:07:02,110 - INFO - [1,   209] loss: 0.370
2022-08-07 00:07:02,175 - INFO - [1,   213] loss: 0.365
